trackid,source,dis,calorie,end_time,run_time,avg_pace,avg_frequency,avg_heart_rate,type,location,city,forefoot_ratio,bind_device,max_pace,min_pace,version,altitude_ascend,altitude_descend,total_step,avg_stride_length,max_frequency,max_altitude,min_altitude,lap_distance,sync_to,distance_ascend,max_cadence,avg_cadence,landing_time,flight_ratio,climb_dis_descend,climb_dis_ascend_time,climb_dis_descend_time,child_list,parent_trackid,max_heart_rate,min_heart_rate,swolf,total_strokes,total_trips,avg_stroke_speed,max_stroke_speed,avg_distance_per_stroke,swim_pool_length,te,swim_style,unit,add_info,sport_mode,downhill_num,downhill_max_altitude_desend,strokes,fore_hand,back_hand,serve,second_half_start_time,pb,rope_skipping_count,rope_skipping_avg_frequency,rope_skipping_max_frequency,rope_skipping_rest_time,left_landing_time,left_flight_ratio,right_landing_time,right_flight_ratio,marathon,model,situps,downstairs_floors,downstairs_height,min_pressure,avg_temperature,max_temperature,min_temperature,exercise_load,total_swing,average_beat,average_up_time,average_down_time,average_angle,average_score,average_power,max_power,work_value,strength_training_group,freestyle_length,breast_stroke_length,butterfly_length,back_stroke_length,medley_length,other_stroke_length,sport_title,averageAirTemp,highestAirTemp,lowestAirTemp,feature,useDEM,bestRTPC,worstRTPC,averageRTPC,averageGlideRatio,difficultySystem,highestDifficulty,runningType,dailyPlanFinished,degreeOfCompletion,runningProgram,waterType,fusionSuccess,needFusion,hyroxRace,strengthScores,createTime,updateTime,originSummary,weatherInfo,totalScore,bestHole,totalputts,scoringMethod,totalStrokes,crossfitContent,anaerobic_te,target_type,target_value,total_group,devicesource,deviceid,sn,spo2_max,spo2_min,avg_altitude,max_slope,avg_slope,avg_pulloar_time,avg_return_time,floor_number,upstairs_height,min_upstairs_floors,accumulated_gap,auto_recognition,app_name,pause_time,heartrate_setting_type,rpe,heart_range,number_of_break,max_pressure,avg_pressure,course_title,VO2_max,lactateThresholdUpdateFlag,thirdPartyDataSource,thirdPartyWorkoutId,displayType,weight,highPrecisionDistance,completionTime,dailyScore,date
1776520205,run.8388865.huami.com,13300.0,1123.0,1776525217,5012,0.376842,154.0,163.0,8,eycef4cdkehh,,-1,0:MILI:8388865:0.110.18.2,0.329936,0.0,16,-1,-1,12864,103,164,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,186,117,-1,-1,-1,-1.0,-1.0,-1.0,-1,44,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,154,164,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,292,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1776526328635,1776526328635,,,0,0,0,0,0,,18,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,-1.0,"0,94;0,113;30,132;638,151;3272,170;1070,189",-1,-1,-1,,-1,0.0,,,,,,,,2026-04-18 13:50:05
1776366300,run.8388865.huami.com,5670.0,415.0,1776368407,2107,0.371605,153.0,150.0,8,eycef5u5xdq4,,-1,0:MILI:8388865:0.110.18.2,0.333976,0.0,16,-1,-1,5365,105,160,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,180,106,-1,-1,-1,-1.0,-1.0,-1.0,-1,33,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,153,160,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,127,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1776425877096,1776425877096,,,0,0,0,0,0,,4,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,-1.0,"0,94;16,113;361,132;746,151;726,170;236,189",-1,-1,-1,,-1,0.0,,,,,,,,2026-04-16 19:05:00
1776109198,run.8388865.huami.com,0.0,62.0,1776109566,368,0.0,0.0,138.0,16,eycef5u78qny,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,163,109,-1,-1,-1,-1.0,-1.0,-1.0,-1,12,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,17,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1776335870567,1776335870567,,,0,0,0,0,0,,3,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,-1.0,"0,94;24,113;83,132;176,151;63,170;0,189",-1,-1,-1,,-1,0.0,,,0.0,,,,,2026-04-13 19:39:58
1776107153,run.8388865.huami.com,5350.0,415.0,1776109166,2013,0.376262,148.0,155.0,8,eycef5u78qny,,-1,0:MILI:8388865:0.110.18.2,0.246708,0.0,16,-1,-1,4956,107,162,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,176,114,-1,-1,-1,-1.0,-1.0,-1.0,-1,33,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,148,162,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,121,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1776335871130,1776335871130,,,0,0,0,0,0,,3,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,-1.0,"0,94;0,113;203,132;516,151;1042,170;235,189",-1,-1,-1,,-1,0.0,,,,,,,,2026-04-13 19:05:53
1775912855,run.8388865.huami.com,12020.0,1078.0,1775917452,4597,0.382446,155.0,168.0,8,eycef5u5x7p1,,-1,0:MILI:8388865:0.110.18.2,0.308769,0.0,16,-1,-1,11846,101,162,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,192,117,-1,-1,-1,-1.0,-1.0,-1.0,-1,49,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,155,162,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,396,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775956862849,1775956862849,,,0,0,0,0,0,,34,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;39,132;445,151;1811,170;2280,189",-1,-1,-1,,-1,,,,,,,,,2026-04-11 13:07:35
1775764217,run.8388865.huami.com,0.0,67.0,1775764602,385,0.0,0.0,139.0,16,eycef5u58hdf,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,160,120,-1,-1,-1,-1.0,-1.0,-1.0,-1,14,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,19,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775766846570,1775766846570,,,0,0,0,0,0,,2,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;56,132;273,151;35,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-04-09 19:50:17
1775761885,run.8388865.huami.com,6000.0,397.0,1775764037,2152,0.358667,155.0,143.0,8,eycef5u58hdf,,-1,0:MILI:8388865:0.110.18.2,0.321911,0.0,16,-1,-1,5553,108,166,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,160,93,-1,-1,-1,-1.0,-1.0,-1.0,-1,30,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,155,166,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,86,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775766848204,1775766848204,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"1,94;33,113;188,132;1453,151;464,170;0,189",-1,-1,-1,,-1,,,,,,,,,2026-04-09 19:11:25
1775591912,run.8388865.huami.com,4750.0,331.0,1775593779,1867,0.393053,146.0,140.0,8,eycef4cednty,,-1,0:MILI:8388865:0.110.18.2,0.269695,0.0,16,-1,-1,4554,104,164,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,169,108,-1,-1,-1,-1.0,-1.0,-1.0,-1,28,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,146,164,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,74,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775594050246,1775594050246,,,0,0,0,0,0,,2,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;110,113;530,132;512,151;692,170;0,189",-1,-1,-1,,-1,,,,,,,,,2026-04-07 19:58:32
1775384582,run.8388865.huami.com,10000.0,830.0,1775388181,3599,0.3599,156.0,166.0,8,eycef5u5x9bz,,-1,0:MILI:8388865:0.110.18.2,0.278086,0.0,16,-1,-1,9335,107,164,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,195,89,-1,-1,-1,-1.0,-1.0,-1.0,-1,48,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,156,164,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,360,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775424856014,1775424856014,,,0,0,0,0,0,,28,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"6,94;18,113;46,132;446,151;1719,170;1359,189",-1,-1,-1,,-1,,,,,,,,,2026-04-05 10:23:02
1775219028,run.8388865.huami.com,0.0,81.0,1775219540,512,0.0,0.0,131.0,16,eycef5u5x9dm,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,145,115,-1,-1,-1,-1.0,-1.0,-1.0,-1,13,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,17,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775244296179,1775244296179,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;258,132;233,151;0,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-04-03 12:23:48
1775216454,run.8388865.huami.com,6720.0,521.0,1775218902,2448,0.364286,154.0,158.0,8,eycef5u5x9dm,,-1,0:MILI:8388865:0.110.18.2,0.244582,0.0,16,-1,-1,6278,107,164,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,180,124,-1,-1,-1,-1.0,-1.0,-1.0,-1,36,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,154,164,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,160,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775244297924,1775244297924,,,0,0,0,0,0,,5,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;116,132;377,151;1686,170;248,189",-1,-1,-1,,-1,,,,,,,,,2026-04-03 11:40:54
1775068997,run.8388865.huami.com,0.0,150.0,1775069939,942,0.0,0.0,131.0,16,eycef4ceyxfn,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,163,110,-1,-1,-1,-1.0,-1.0,-1.0,-1,20,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,27,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775071092370,1775071092370,,,0,0,0,0,0,,3,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;25,113;535,132;269,151;92,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-04-01 18:43:17
1775067099,run.8388865.huami.com,5000.0,371.0,1775068953,1854,0.3708,153.0,151.0,8,eycef4ceyxfn,,-1,0:MILI:8388865:0.110.18.2,0.329498,0.0,16,-1,-1,4722,105,160,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,167,105,-1,-1,-1,-1.0,-1.0,-1.0,-1,31,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,153,160,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,99,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1775071092906,1775071092906,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;6,113;150,132;567,151;1111,170;0,189",-1,-1,-1,,-1,,,,,,,,,2026-04-01 18:11:39
1774982444,run.8388865.huami.com,6000.0,455.0,1774984695,2251,0.375167,152.0,153.0,8,eycef5u5x949,,-1,0:MILI:8388865:0.110.18.2,0.311155,0.0,16,-1,-1,5706,105,164,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,173,127,-1,-1,-1,-1.0,-1.0,-1.0,-1,32,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,152,164,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,105,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1774999467526,1774999467526,,,0,0,0,0,0,,1,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;2,132;842,151;1372,170;13,189",-1,-1,-1,,-1,,,,,,,,,2026-03-31 18:40:44
1774010051,run.8388865.huami.com,0.0,127.0,1774010836,785,0.0,0.0,133.0,16,eycef5u5x2rh,,-1,0:MILI:8388865:0.110.18.2,0.0,0.0,16,-1,-1,0,0,0,-20000,-20000,-1,,-1,0,0,-1,0,-1,-1,-1,,-1,154,118,-1,-1,-1,-1.0,-1.0,-1.0,-1,17,-1,0,"{""upload_gps_permission"":""allow""}",0,-1,-1,-1,-1,-1,-1,-1,{},0,0,0,-1,-1,0,-1,0,,,0,0,-20000.0,-1,-274.0,-274.0,-274.0,25,-1,-1.0,-1.0,-1.0,-361,-1,-1.0,-1.0,-1.0,,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,1,False,21,21,21.0,0.0,0.0,0.0,0,False,0.0,0,0,0,0,,,1774027888332,1774027888332,,,0,0,0,0,0,,2,0,0,-1,8388865,C24E9EFFFE76C198,22122402108154,-1,-1,-20000.0,0,0,-1.0,-1.0,0,-20000.0,-1.0,-1,False,com.xiaomi.hm.health,-1,0,,"0,94;0,113;390,132;360,151;14,170;0,189",-1,-1,-1,,-1,,,,0.0,,,,,2026-03-20 12:34:11
